Bank name;Group name
"ABC";"ABC"
"ABN Amro";"ABN Amro"
"Allied Irish Bank Plc";"Allied Irish Bank Plc"
"ANZ";"ANZ"
"Arab Bank";"Arab Bank"
"Arab International Bank";"Arab International Bank"
"banca di Roma";"banca di Roma"
"Banca INTESA";"Banca INTESA"
"Bancaja";"Bancaja"
"Banco de Castilla";"Banco de Castilla"
"Banco de Sabadell";"Banco de Sabadell"
"Banco Itaů";"Banco Itaů"
"Banco Popular Espanol";"Banco Popular Espanol"
"Banesto";"Banesto"
"Bank of America";"Bank of America"
"Bank of China";"Bank of China"
"Bank of Ireland";"Bank of Ireland"
"Banque FINAMA";"Banque FINAMA"
"BANQUE FINANCIERE CARDIF";"BANQUE FINANCIERE CARDIF"
"Banque Gabonaise de Développement";"Banque Gabonaise de Développement"
"Banque KOLB SA";"Banque KOLB SA"
"BANQUE LAYDERNIER";"BANQUE LAYDERNIER"
"Banque Scalbert Dupont";"Banque Scalbert Dupont"
"BANQUE SOGENAL";"BANQUE SOGENAL"
"Barclays";"Barclays"
"Bayerische Landesbank";"Bayerische Landesbank"
"BBVA";"BBVA"
"Bca Monte Paschi di Sienna";"Bca Monte Paschi di Sienna"
"Bco Bilbao Vizcaya Argentaria";"Bco Bilbao Vizcaya Argentaria"
"Bco Portugues do Investimo";"Bco Portugues do Investimo"
"BESV";"BESV"
"BFT";"BFT"
"BFT  GESTION";"BFT  GESTION"
"BGFI Bank";"BGFI Bank"
"BICS";"BICS"
"BNP Paribas";"BNP Paribas"
"BoTM-UFJ";"BoTM-UFJ"
"BP Val de France - cash poolin";"BP Val de France - cash poolin"
"BRO";"BRO"
"Caixa Leasing";"Caixa Leasing"
"Caja Cantabria";"Caja Cantabria"
"Caja Madrid";"Caja Madrid"
"Caja San Fernando";"Caja San Fernando"
"Camefi banque";"Camefi banque"
"Capitalia  Gruppo Bancario";"Capitalia  Gruppo Bancario"
"Cardif Asset Management";"Cardif Asset Management"
"CCP Boulogne Billancourt";"CCP Boulogne Billancourt"
"CCR Gestion";"CCR Gestion"
"CDC";"CDC"
"CERES JOUR";"CERES JOUR"
"CERES TRESORERIE";"CERES TRESORERIE"
"Ceska Sporitelna as";"Ceska Sporitelna as"
"China Agriculture Bank";"China Agriculture Bank"
"China Citic Bank";"China Citic Bank"
"China Construction Bank";"China Construction Bank"
"China Development Bank";"China Development Bank"
"China Everbright Bank";"China Everbright Bank"
"CitiBank";"CitiBank"
"CNCEP";"CNCEP"
"Colonial Life & Accid Ins.CUDD";"Colonial Life & Accid Ins.CUDD"
"Commerzbank";"Commerzbank"
"Commonwealth Bank of Australia";"Commonwealth Bank of Australia"
"Crédit Suisse";"Crédit Suisse"
"CRANSTON City";"CRANSTON City"
"CRCA Contres";"CRCA Contres"
"Credit Suisse";"Credit Suisse"
"Credito Emiliano";"Credito Emiliano"
"CUDD & CO";"CUDD & CO"
"CYRIL FINANCE GESTION";"CYRIL FINANCE GESTION"
"Danske Bank";"Danske Bank"
"debis AC Leasing";"debis AC Leasing"
"Deutsche bank";"Deutsche bank"
"Devt Bank of South Africa";"Devt Bank of South Africa"
"Dexia";"Dexia"
"Disko";"Disko"
"DnB Nor Bank";"DnB Nor Bank"
"Dresdner Bank";"Dresdner Bank"
"DRESDNER BANK";"DRESDNER BANK"
"DWS Investments";"DWS Investments"
"DZ BANK";"DZ BANK"
"Eco fi investissement";"Eco fi investissement"
"EESTI UHISPANK";"EESTI UHISPANK"
"ELCON FINANS";"ELCON FINANS"
"ENERGO UTECH SA";"ENERGO UTECH SA"
"EQUIPBAIL";"EQUIPBAIL"
"Etoile Gestion";"Etoile Gestion"
"EXANE";"EXANE"
"FCPE BUREAU VERITAS";"FCPE BUREAU VERITAS"
"FCPR DEMETER";"FCPR DEMETER"
"Federal Finance Brest";"Federal Finance Brest"
"Federal Home Life Insurance Cy";"Federal Home Life Insurance Cy"
"FIMAT";"FIMAT"
"FIMF MULTI FONDS";"FIMF MULTI FONDS"
"FIN. ABEILLE CT";"FIN. ABEILLE CT"
"FIRSTRAND BANK";"FIRSTRAND BANK"
"FORENINGS SPARBANKEN";"FORENINGS SPARBANKEN"
"Fortis Bank";"Fortis Bank"
"Frankie Tan";"Frankie Tan"
"Gabon";"Gabon"
"GE Life & Annuity Assurance Cy";"GE Life & Annuity Assurance Cy"
"GE Life Ltd";"GE Life Ltd"
"General Electric Capital Assur";"General Electric Capital Assur"
"GENERALI TRESORERIE";"GENERALI TRESORERIE"
"GERLACH & CO";"GERLACH & CO"
"GILBERT DUPONT";"GILBERT DUPONT"
"GLE CALEDONIENNE DE BANQUE";"GLE CALEDONIENNE DE BANQUE"
"GMF MUTUELLES";"GMF MUTUELLES"
"GMF VIE et GMF ASSURANCE";"GMF VIE et GMF ASSURANCE"
"Golden American Life Insurance";"Golden American Life Insurance"
"Groupama Asset Management";"Groupama Asset Management"
"Groupe Banque Populaire";"Groupe Banque Populaire"
"Groupe Caisse d'Epargne";"Groupe Caisse d'Epargne"
"GROUPE CGU";"GROUPE CGU"
"Groupe CIC CM";"Groupe CIC CM"
"Groupe Crédit Agricole";"Groupe Crédit Agricole"
"Groupe General Motors";"Groupe General Motors"
"GROUPE GMF";"GROUPE GMF"
"GROUPE VICTOIRE";"GROUPE VICTOIRE"
"Halisol Obligations";"Halisol Obligations"
"HANDELSBANKEN";"HANDELSBANKEN"
"HANDELSBANKEN FINANS AB";"HANDELSBANKEN FINANS AB"
"HANSABANKAS";"HANSABANKAS"
"HARE & CO";"HARE & CO"
"HBOS";"HBOS"
"HILL SAMUEL";"HILL SAMUEL"
"HSBC";"HSBC"
"HSH N Nordic Finance";"HSH N Nordic Finance"
"HVB Leasing";"HVB Leasing"
"HW Leasing Gmbh";"HW Leasing Gmbh"
"HYPO REAL ESTATE";"HYPO REAL ESTATE"
"Hypovereinsbank";"Hypovereinsbank"
"ICAP Securities Ltd";"ICAP Securities Ltd"
"ICBC";"ICBC"
"Industrial and Com Bk of China";"Industrial and Com Bk of China"
"ING Group";"ING Group"
"International Irish Bank";"International Irish Bank"
"JP Morgan";"JP Morgan"
"KBC";"KBC"
"KBC Bank NV France";"KBC Bank NV France"
"KBL FRANCE CONSEIL ET GESTION";"KBL FRANCE CONSEIL ET GESTION"
"KfB";"KfB"
"KG allgemeine Leasing GMBH";"KG allgemeine Leasing GMBH"
"Komercni Banka";"Komercni Banka"
"La Caixa";"La Caixa"
"La Compagnie 1818";"La Compagnie 1818"
"La Poste";"La Poste"
"Landesbank";"Landesbank"
"Landesbk Baden Württenberg";"Landesbk Baden Württenberg"
"LAYDERNIER";"LAYDERNIER"
"LAZARD FRERES BANQUE";"LAZARD FRERES BANQUE"
"LAZARD GESTION";"LAZARD GESTION"
"LEHMAN BROTHERS";"LEHMAN BROTHERS"
"Life Insurance Cy of Georgia";"Life Insurance Cy of Georgia"
"LIFFE";"LIFFE"
"Lloyds";"Lloyds"
"LOcation FInanciere du NORD";"LOcation FInanciere du NORD"
"Locindus";"Locindus"
"MAARDU SOOJUS AS";"MAARDU SOOJUS AS"
"Madrid Leasing";"Madrid Leasing"
"MARLY GESTION";"MARLY GESTION"
"MCC SPA - MedioCredito Central";"MCC SPA - MedioCredito Central"
"Merrill Lynch";"Merrill Lynch"
"Merrill Lynch Intl Bk Ltd";"Merrill Lynch Intl Bk Ltd"
"Metlife & An Co of Connecticut";"Metlife & An Co of Connecticut"
"MetLife Insu Co of Connecticut";"MetLife Insu Co of Connecticut"
"Metropolitan Life Insurance Co";"Metropolitan Life Insurance Co"
"Mizuho Corporate Bank";"Mizuho Corporate Bank"
"Morgan Stanley";"Morgan Stanley"
"Movir NV";"Movir NV"
"National Agri Coop Fed Korea";"National Agri Coop Fed Korea"
"National Benefit Life Ins, Cy";"National Benefit Life Ins, Cy"
"Nationale Nederlanden Levensv,";"Nationale Nederlanden Levensv,"
"Nationale Nederlanden Schadev,";"Nationale Nederlanden Schadev,"
"Nationwide Life Insurance Cy";"Nationwide Life Insurance Cy"
"Nationwide Mutual Insurance Cy";"Nationwide Mutual Insurance Cy"
"Natixis";"Natixis"
"NOAM MONETAIRE";"NOAM MONETAIRE"
"Nord LB";"Nord LB"
"Nordania Leasing";"Nordania Leasing"
"Norddeutsche Landesbank";"Norddeutsche Landesbank"
"Nordea";"Nordea"
"Nordea Bank";"Nordea Bank"
"Nordea Bank AB";"Nordea Bank AB"
"Nordlandsbanken";"Nordlandsbanken"
"Nova Ljubljanska Banka d.d.";"Nova Ljubljanska Banka d.d."
"Nova Ljubljanska Banka Group";"Nova Ljubljanska Banka Group"
"Palatine";"Palatine"
"PFPC T&C FBO Equalt Europ Pair";"PFPC T&C FBO Equalt Europ Pair"
"PLC";"PLC"
"Prava Kommunalna Banka";"Prava Kommunalna Banka"
"Réseau Transport Electricité";"Réseau Transport Electricité"
"Rabobank";"Rabobank"
"RAND MERCHANT BANK";"RAND MERCHANT BANK"
"RBS";"RBS"
"Reassure America Life Insur,";"Reassure America Life Insur,"
"ReliaStar Life Insurance Co";"ReliaStar Life Insurance Co"
"Republic of Slovenia";"Republic of Slovenia"
"REPUBLIQUE DU CANTON DE BERNE";"REPUBLIQUE DU CANTON DE BERNE"
"Royal Bank of Scotland";"Royal Bank of Scotland"
"RVS Schadeverzekzring NV";"RVS Schadeverzekzring NV"
"San Paomo IMI";"San Paomo IMI"
"Scandinaviska Enskilda Banken";"Scandinaviska Enskilda Banken"
"Scottsdale Insurance Cy";"Scottsdale Insurance Cy"
"SEB";"SEB"
"Security Life of Denver Insur.";"Security Life of Denver Insur."
"Skandinaviska Enskilda Banken";"Skandinaviska Enskilda Banken"
"SKB Leasing d.o.o.";"SKB Leasing d.o.o."
"SKB Stanovanjsko-Komunalna Bka";"SKB Stanovanjsko-Komunalna Bka"
"SMBC";"SMBC"
"SMBC Capital Markets,Inc";"SMBC Capital Markets,Inc"
"SNVB";"SNVB"
"Société Générale";"Société Générale"
"SOCIETE MARSEILLAISE DE CREDIT";"SOCIETE MARSEILLAISE DE CREDIT"
"Southwestern Life Insur, Cy";"Southwestern Life Insur, Cy"
"SVENSKA HANDELSBK LUXEMBOURG";"SVENSKA HANDELSBK LUXEMBOURG"
"UBS";"UBS"
"UniCredito";"UniCredito"
"WACHOVIA BANK NA";"WACHOVIA BANK NA"
"West LB";"West LB"
"WestAM Banque d'Orsay";"WestAM Banque d'Orsay"
"WESTLB";"WESTLB"
"WESTPAC EUROPE LIMITED";"WESTPAC EUROPE LIMITED"
"Zivnostenska Banka";"Zivnostenska Banka"
